Museum,SpecimenPfx,SpecimenNumber,SpecimenSfx,RecordNumber,FieldNumber,YearFound,StudyArea,Locality,CollectingArea,AreaModifier,Formation,Member,Level,StratigraphicUnit,Excavation,SqrNmbr,Class,Order,Family,FamilyCode,Subfamily,TribeCode,Tribe,GenusCode,GenusQualifier,Genus,SpeciesQualifier,Species,BodyElement,Side,BodyElementCode,PartDescription,PublicationAuthor,YearPublished,YearPublishedSfx
KNM,ER,1239,,,71-22,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,,koobiforensis,Premaxilla,Lt. and Rt.,29,"fragment with Lt. I1-I2 complete, C frag.; Rt. I1-I3 complete, C frag.",V. Eisenmann,1983,
KNM,ER,1241,A,1,71-149,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,Maxilla,Rt.,29,"fragment with P2 frag., P3-M1 complete",V. Eisenmann,1983,
KNM,ER,1241,B,2,71-149,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,Maxilla,Lt.,29,fragment with P4-M2 complete,V. Eisenmann,1983,
KNM,ER,1242,,,71-464,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,,koobiforensis,UM3,Rt.,26,complete,V. Eisenmann,1983,
KNM,ER,1243,,,71-465,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,,koobiforensis,LP3 or LP4,Rt.,7,complete,V. Eisenmann,1983,
KNM,ER,1244,,,71-466,1971,East Turkana,Koobi Fora Ridge,102,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,2,,Hipparion,cf.,ethiopicum,LM1 or LM2,Rt.,12,complete,V. Eisenmann,1983,
KNM,ER,1245,A,1,71-467,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,Ldp2,Lt.,9,complete,V. Eisenmann,1983,
KNM,ER,1245,B,2,71-467,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,LM3,Rt.,15,complete,V. Eisenmann,1983,
KNM,ER,1246,,,71-468,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,LP2,Lt.,9,complete,V. Eisenmann,1983,
KNM,ER,1249,,,71-471,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,,koobiforensis,LM3,Rt.,15,nearly complete,V. Eisenmann,1983,
KNM,ER,1250,,,71-472,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,,koobiforensis,UM3,Rt.,26,complete,V. Eisenmann,1983,
KNM,ER,1251,A,1,71-473,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UP4,Rt.,23,nearly complete,V. Eisenmann,1983,
KNM,ER,1251,B,2,71-473,1971,East Turkana,Koobi Fora Ridge,104,,Koobi Fora,KBS,,,,,Mammalia,Perissodactyla,Equidae,61,,,,1,,Equus,indet.,,UM1,Rt.,24,nearly complete,V. Eisenmann,1983,
